2020-10-01,Feels Good Man,2020,https://boxd.it/1nEmZP
,,,
The problem is that the explorations are not satisfyingly deep, and a narrative is imposed with a somewhat heavy hand on the documentary material. Additionally, the film lacks a satisfying conclusion to the character arc. The open-endedness of the future of Pepe was a strong aspect of the film, but the cast of characters is not as interesting to me as those in TFW No GF."
2020-10-01,Flirting with Disaster,1996,https://boxd.it/1nEnxn
2020-10-01,Notting Hill,1999,https://boxd.it/1nEof5
2020-10-01,Tinker Tailor Soldier Spy,2011,https://boxd.it/1nErEx
2020-10-01,The Silence,1963,https://boxd.it/1nEsE9
2020-10-02,Mission: Impossible - Fallout,2018,https://boxd.it/1nLrP5
,,,
The chase scenes through Paris were pretty cool, as was the first fight scene in the washroom.",,2020-10-01
